generation, team A best, team A current, team B best, team B current, Dropped %
210, 0.2, 0.2, 0.2, 0.2, 0.0952381
211, 0.2, 0.2, 0.2, 0.2, 0.0952381
212, 0.2, 0.2, 0.2, 0.2, 0.0952381
213, 0.2, 0.2, 0.2, 0.2, 0.0952381
214, 0.2, 0.2, 0.2, 0.2, 0.0952381
215, 0.2, 0.2, 0.2, 0.2, 0.0952381
216, 0.2, 0.2, 0.2, 0.2, 0.0952381
217, 0.2, 0.2, 0.2, 0.2, 0.0952381
218, 0.2, 0.2, 0.2, 0.2, 0.0952381
219, 0.2, 0.2, 0.2, 0.2, 0.0952381
220, 0.2, 0.2, 0.2, 0.2, 0.0952381
221, 0.2, 0.2, 0.2, 0.2, 0.0952381
222, 0.2, 0.2, 0.2, 0.2, 0.0952381
223, 0.2, 0.2, 0.2, 0.2, 0.0952381
224, 0.2, 0.2, 0.2, 0.2, 0.0952381
225, 0.2, 0.2, 0.2, 0.2, 0.0952381
226, 0.2, 0.2, 0.2, 0.2, 0.0952381
227, 0.2, 0.2, 0.2, 0.2, 0.0952381
228, 0.2, 0.2, 0.2, 0.2, 0.0952381
229, 0.2, 0.2, 0.2, 0.2, 0.0952381
230, 0.2, 0.2, 0.2, 0.2, 0.0952381
231, 0.2, 0.2, 0.2, 0.2, 0.0952381
232, 0.2, 0.2, 0.2, 0.2, 0.0952381
233, 0.2, 0.2, 0.2, 0.2, 0.0952381
234, 0.2, 0.2, 0.2, 0.2, 0.0952381
235, 0.2, 0.2, 0.2, 0.2, 0.0952381
236, 0.2, 0.2, 0.2, 0.2, 0.0952381
237, 0.2, 0.2, 0.2, 0.2, 0.0952381
238, 0.2, 0.2, 0.2, 0.2, 0.0952381
239, 0.2, 0.2, 0.2, 0.2, 0.0952381
240, 0.2, 0.2, 0.2, 0.2, 0.0952381
241, 0.2, 0.2, 0.2, 0.2, 0.0952381
242, 0.2, 0.2, 0.2, 0.2, 0.0952381
243, 0.2, 0.2, 0.2, 0.2, 0.0952381
244, 0.2, 0.2, 0.2, 0.2, 0.0952381
245, 0.2, 0.2, 0.2, 0.2, 0.0952381
246, 0.2, 0.2, 0.2, 0.2, 0.0952381
247, 0.2, 0.2, 0.2, 0.2, 0.0952381
248, 0.2, 0.2, 0.2, 0.2, 0.0952381
249, 0.2, 0.2, 0.2, 0.2, 0.0952381
250, 0.2, 0.2, 0.2, 0.2, 0.0952381
251, 0.2, 0.2, 0.2, 0.2, 0.0952381
252, 0.2, 0.2, 0.2, 0.2, 0.0952381
253, 0.2, 0.2, 0.2, 0.2, 0.0952381
254, 0.2, 0.2, 0.2, 0.2, 0.0952381
255, 0.2, 0.2, 0.2, 0.2, 0.0952381
256, 0.2, 0.2, 0.2, 0.2, 0.0952381
257, 0.2, 0.2, 0.2, 0.2, 0.0952381
258, 0.2, 0.2, 0.2, 0.2, 0.0952381
259, 0.2, 0.2, 0.2, 0.2, 0.0952381
260, 0.2, 0.2, 0.2, 0.2, 0.0952381
261, 0.2, 0.2, 0.2, 0.2, 0.0952381
