generation, Top Error, Gen Error, Trial 0, Trial 1, Trial 2, Trial 3
81, 0.285861619862958, 0.285861619862958, 0.353288401730267, 0.104325414737676, 0.501057518286121, 0.184775144697768
82, 0.285782440052356, 0.285782440052356, 0.35344641504259, 0.106130181437869, 0.501239597005457, 0.182313566723509
83, 0.283068860521699, 0.283068860521699, 0.345270431970195, 0.0988632958343369, 0.505292357889228, 0.182849356393036
84, 0.281779767063894, 0.281779767063894, 0.342568462209814, 0.0995117967452576, 0.500608795927411, 0.184430013373094
85, 0.278298409877718, 0.278298409877718, 0.345449127855266, 0.105246146153709, 0.477523605489117, 0.18497476001278
86, 0.277359686547721, 0.277359686547721, 0.353383556999666, 0.109195157360808, 0.458017270786169, 0.188842761044242
87, 0.277330698143135, 0.277330698143135, 0.348653267395028, 0.114170493006937, 0.456800314459163, 0.189698717711414
88, 0.277196241439142, 0.277196241439142, 0.358070745048781, 0.111533291340508, 0.451074526599302, 0.188106402767978
89, 0.272714269180023, 0.272714269180023, 0.32652330042309, 0.100684867124889, 0.471136948141407, 0.192511961030705
90, 0.272714269180023, 0.273060715345715, 0.326758024471651, 0.101580246954549, 0.47120010371814, 0.192704486238519
91, 0.272693772227145, 0.272693772227145, 0.321742114711259, 0.0989367942120283, 0.475516966130022, 0.194579213855269
92, 0.272693772227145, 0.273296418355791, 0.3213192795766, 0.0991612927348836, 0.477082628625666, 0.195622472486015
93, 0.272693772227145, 0.272928866370657, 0.328625359813097, 0.0994626852817024, 0.473055566897962, 0.190571853489866
94, 0.27182787295133, 0.27182787295133, 0.318460897859809, 0.102424209754009, 0.473326063424723, 0.193100320766777
95, 0.270352594260751, 0.270352594260751, 0.327386064684438, 0.101620531667141, 0.455734653472897, 0.196669127218528
96, 0.267929337912086, 0.267929337912086, 0.31773372792801, 0.0978133079853484, 0.461747779346649, 0.194422536388337
97, 0.267929337912086, 0.268504793385508, 0.313216553713838, 0.102597522768001, 0.451011092979149, 0.207194004081042
98, 0.267364933494391, 0.267364933494391, 0.320223874958722, 0.0977198312456411, 0.457195334717407, 0.194320693055794
99, 0.266280880952687, 0.266280880952687, 0.313369608610865, 0.0971754377624729, 0.455450413657111, 0.199128063780301
100, 0.263198142999612, 0.263198142999612, 0.314285024682876, 0.0947556635714065, 0.45037052066093, 0.193381363083238
101, 0.262177527488291, 0.262177527488291, 0.305167135638859, 0.093635447583608, 0.457245104489512, 0.192662422241186
102, 0.261345285426486, 0.261345285426486, 0.304825255798278, 0.0992511616004267, 0.447986417499513, 0.193318306807726
103, 0.261345285426486, 0.261390083040533, 0.304941653150322, 0.0992891889799857, 0.447976169613477, 0.193353320418349
104, 0.261345285426486, 0.261348742290953, 0.304941653150322, 0.0992265431649538, 0.447873452430187, 0.193353320418349
105, 0.261345285426486, 0.261391353416768, 0.30504855812756, 0.0992891889799857, 0.447873452430187, 0.19335421412934
106, 0.25986980599002, 0.25986980599002, 0.300866433874535, 0.105597692010098, 0.440244695686244, 0.192770402389203
